势力名称	势力基础设定	角色名	子阵营	对应身份	IP定位	出场节点	角色样貌	角色基础设定	特殊的元素	「一句话」标签	EN														
工匠、酒馆、侦探社组织⏎Artisans, Tavern workers, and Investigators 	反魔法/灰色地带，机械造物&魔药饮品	彼得⏎Petyr	机械工匠⏎Craftsman Association 	首席工匠⏎Chief Craftsman 		A2-1主线、实习线⏎A2-1 Main Storyline, Internship Arc	 	· 性别：男⏎Gender: Male⏎· 年龄：25⏎Age: 25⏎⏎  被地系氏族的蒙奇制作出来的完美魔偶，愿晶愿骸混合驱动。⏎  蒙奇将自己的灵魂献祭给地系精灵王后，和地系精灵王合二为一。亚瑟打败其后，派彼得守护地下深埋的地系精灵王。⏎⏎  长久的守候中，彼得因为无聊开始制作机械系精灵，结果一炮而红，因为这些小东西，周边聚集成了工匠镇子，彼得大道  也逐渐形成，人们用彼得的名字命名，立了雕像，彼得选择了自己父亲蒙奇的样子。⏎  后来，工匠协会诞生，彼得被推为首领。机械精灵改变了王国区域人们的生活，传播了一种新的生活方式。⏎  彼得感受不到这些变化，因为他只想守护父亲。彼得将愿骸分离出去，变成了自己的坐骑。⏎⏎  多年后，彼得手下的学徒艾普鲁创办了商会，后又潜入地下，唤醒了机械王，爆炸之后，机械王散失了。⏎  发现在海边捞到遗骸，彼得前去收集，逐渐形成了捞船镇。如今彼得的主营业务就是捞呀捞。⏎The perfect golem crafted by Earth-class Monki, powered by a fusion of Wishing Crystals and Wishing Husks. After Monki sacrificed his soul to the Earth Jini Sovereign —becoming one with the deity—Arthiel defeated the combined entity and tasked Petyr with guarding the Earth Jini Sovereign buried deep underground.⏎⏎During his long, lonely vigil, Petyr began creating mechanical Jinies out of boredom. To his surprise, they became an overnight sensation. These little inventions drew crowds, eventually forming a bustling Craftsman Town. The main thoroughfare was named Petyr Avenue, and a statue was erected in his honor, though Peter chose to model the statue after his father, Monki. Later, the Craftsman Association was born, and Peter was appointed its leader. His mechanical Jinies transformed the lives of people throughout the kingdom, ushering in an entirely new lifestyle.⏎⏎Yet, Petyr remained indifferent to these changes; his only desire was to protect his father. He eventually separated the Wishing Husks from his core, turning them into his own ride. Years later, his apprentice, April, founded a Merchant Guild and ventured underground to awaken the Mechanical Sovereign. A massive explosion ensued, causing the Mechanical Sovereign to be scattered. Upon hearing that remains were being salvaged by the shore, Petyr traveled there to collect them, leading to the birth of Salvage Town. Nowadays, Petyr’s life revolves around his salvage operations																	
		费格尔	月兔酒馆⏎Moonhare Tavern	酒保⏎Bartender		A2-1主线、实习线⏎A2-1 Main Storyline, Internship Arc	 	· 性别：女⏎Gender: Female⏎· 年龄：202⏎Age: 202⏎⏎  酒保，月兔的好友，来历神秘的狼人精灵；⏎  与外表的英俊与礼貌不同，菲格尔和它的「盗友」们，共同经营着一家「黑店」；⏎  曾经在落海时被月兔所救，但因为与其物种之间的罅隙，而和月兔关系微妙，数次的同甘共苦后，两人已经建立了超越友人的友谊，但因自己是「狼人」，始终不愿和她契约。⏎A bartender and close friend to Moonhare, Figel is a werewolf Jini of mysterious origins. Contrary to his handsome and polite exterior, he and his thieving comrades operate a notorious black market. Figel was once rescued from the sea by Moonhare, but because of the natural rift between their species, their relationship remains complicated. Though they have shared countless trials and formed a bond that transcends mere friendship, Figel refuses to enter into a formal contract with her—burdened by the nature of his werewolf blood																	
		罗宾⏎Robyn	福尔摩卡侦探社⏎Formoka Detective Agency	副社长⏎Deputy Director 		A2-主线⏎（实习线）⏎A2 Main Storyline 	 	· 性别：男⏎Gender: Male⏎· 年龄：三十五⏎Age: 25⏎· 外貌特征：⏎                   中年男子，传统英式侦探的打扮，看起来很专业，喜欢抽魔法植物。⏎Appearance: A seasoned gentleman in classic English sleuth's garb. He looks every bit the professional and enjoys a good smoke of magical flora⏎· 性格特征：⏎                 性格严谨，福尔摩卡侦探社的表社长。因为精灵死亡事件在心中蒙上阴影，因此破案会过于小心和谨慎。⏎                 坚韧不拔，对本职工作废寝忘食，生活粗糙，却爱品酒。⏎                 对案子来者不拒，虽然大脑灵光，可惜老遇到奇怪的不按照逻辑来的案子，破案的运气不佳。⏎                 对福尔摩卡有着特别的亲情，逐渐也在和他的相处中，学习让自己变得放松的办法，努力从过去的阴影走出来。⏎Personality: Characterized by a rigorous and disciplined nature, he serves as the deputy director of the Formoka Detective Agency. A past tragedy involving the death of a Jini has cast a long shadow over his heart, making him excessively cautious and hesitant in his investigations. He is a man of unyielding grit who loses himself in his work to the point of neglecting his own needs; his lifestyle is unrefined and rugged, yet he harbors a refined passion for fine Jinies.⏎⏎While he never turns down a case and possesses a brilliant mind, he is plagued by terrible luck, often colliding with bizarre mysteries that defy all conventional logic. He shares a deep, familial bond with Formoka, and through their partnership, he is slowly learning to let his guard down and emerge from the darkness of his past.																	
		莫里亚克⏎Mauriac		智慧出版社⏎Wisdom Press			 	⏎· 性别：男⏎Gender: Male⏎· 年龄：30⏎Age: 30⏎· 外貌特征：⏎帅气自信的青年，很善于交流，非常喜爱活跃在采风前线，有着记者和市民的特性。⏎Appearance:⏎A handsome and confident young man with a natural gift for conversation. He loves being on the front lines, capturing the spirit of the world as it happens, blending the sharp instincts of a journalist with the relatable charm of a local citizen⏎· 性格特征：⏎智慧出版社的老板，罗宾和福尔摩卡的的欢喜冤家。⏎兼任福尔摩卡的编辑，在文学上小有造诣。⏎平时会各种采风，收集信息。脑子转的很快，联动侦探事务，提供信息源。⏎性格随性慵懒，在重要的事情上不含糊，非常man的存在。效率很高，似乎不用睡觉，这点和罗宾有类似之处。⏎Personality:⏎The owner of Wisdom Press and the spirited rival to Robyn and Formoka. He doubles as Formoka’s editor and is a recognized talent in the literary world. He is constantly out in the field gathering inspiration and intel; his mind works at lightning speed, allowing him to sync with detective cases and provide crucial leads.⏎⏎Though he possesses a casual, laid-back personality, he never wavers when it comes to high-stakes matters; he is a truly man of of substance. He is incredibly efficient and seems to have no need for sleep, a trait he shares with Robyn⏎· 重要过往：⏎犬系男人，狗狗控！⏎Backstory: He’s got that golden retriever energy and is a huge dog person!																	
噩梦教宗⏎Nightmare Followers	密教反派，危险感受	库伦⏎Kullen	黑巫团⏎The Nightmare Order	首领⏎Leader		A1-主线、奇谭，黑巫师之影⏎A1 Main Storyline, Strange Chronicles: Shadows of the Dark Wizards	 	· 性别：男⏎Gender: Male⏎· 年龄：未知⏎Age: Unknown ⏎· 外貌特征：⏎                   少年出道，紫黑色法袍下虽是稚嫩脸孔，却难以掩藏阴郁狠厉的气质。⏎Appearance: A boy who debuted young, his violet-black robes hide a youthful face that belies a dark, menacing nature. Despite his age, he radiates an undeniable air of grim cruelty⏎· 性格特征：⏎                   忠心耿耿于恩佐，且是不怕脏活累活的实干派，对手下鸡牛部队比较无情。⏎                   智商比鸡牛部队高，但自视甚高，因此容易聪明反被聪明误，经常被激几句就一个自爆。⏎Personality: He is fiercely loyal to Enzir and a true man of action who isn't afraid to get his hands dirty, though he is quite heartless toward his subordinates in the Bitter Squad. While he is certainly smarter than his troops, his massive ego is his undoing; he often falls into his own traps by being too clever for his own good. He is also easily provoked, a few taunts are usually enough to make him blow his own cover or self-destruct	噩梦教宗最底层的杂鱼，但，是杂鱼里的高子																
		羡慕	黑巫团⏎The Nightmare Order	鸡牛部队⏎The Bitter Squad		A1-主线、奇谭，黑巫师之影⏎A1 Main Storyline, Strange Chronicles: Shadows of the Dark Wizards	 	· 性别：男⏎Gender: Male⏎· 年龄：未知⏎Age: Unknown ⏎· 外貌特征：⏎                    白皙大叔。⏎Appearance: A fair-skinned middle-aged man⏎⏎· 性格特征：⏎                   性格温和懦弱，经常放丧气话自乱阵脚，没什么大的梦想。⏎Personality: He is gentle but weak-willed, frequently undermining his own confidence with defeatist talk. He lacks any grand ambitions or major dreams	有梦想的杂鱼																
		嫉妒⏎Envy	黑巫团⏎The Nightmare Order	鸡牛部队⏎The Bitter Squad		A1-主线、奇谭，黑巫师之影⏎A1 Main Storyline, Strange Chronicles: Shadows of the Dark Wizards	 	· 性别：男⏎Gender: Male⏎· 年龄：未知⏎Age: Unknown ⏎· 外貌特征：⏎                    高壮。⏎Appearance: Tall and well-built⏎⏎· 性格特征：⏎                   喜欢记仇，放狠话很厉害，说话不过大脑，憨憨的，冲劲和行动力很强。⏎Personality: He is the type to hold a grudge and is a master of talking big, though he usually speaks without thinking. Despite being a bit of a lovable oaf, he possesses incredible drive and initiative.	有伙伴的杂鱼																
		恨⏎Resent	黑巫团⏎The Nightmare Order	鸡牛部队⏎The Bitter Squad		A1-主线、奇谭，黑巫师之影⏎A1 Main Storyline, Strange Chronicles: Shadows of the Dark Wizards	 	· 性别：男⏎Gender: Male⏎· 年龄：未知⏎Age: Unknown⏎· 外貌特征：⏎                    矮胖。⏎Appearance: Tiny and plump⏎· 性格特征：⏎                   心理扭曲，总看不得别人好，喜欢说风凉话。⏎Personality: Mentally warped and driven by a deep-seated resentment of others' success, he loves making snide, cynical remarks from the sidelines	有行动力的杂鱼																
		武使徒	噩梦教宗/黑巫团⏎Nightmare Follower/The Nightmare Order			A2-主线⏎A2 Main Storyline	 	⏎· 性别：男⏎Gender: Male⏎· 年龄：300+⏎Age: 300+⏎· 外貌特征：⏎身材强壮、敦实，隐藏在深紫色（和其他人颜色截然不同）的罩袍中；⏎Appearance: He has a powerful, stocky build, concealed beneath a deep purple robe that stands in stark contrast to the colors worn by the others.⏎· 性格特征：⏎自信，沉稳，强势，有一些源于自身出身和武力值的自傲，喜欢用武力解决问题；⏎力大无穷，比较暴力，但往往深藏不露，不经意间给人致命一击；⏎Personality: A dominant and steady figure, his pride stems from his high-born roots and overwhelming combat skills. He is a firm believer in might makes right. Despite his violent streak and immense physical power, he loves sticking to the shadows, often concealing his trump card before catching his enemies off guard with a single, fatal strike⏎· 重要过往：⏎曾经隶属于噩梦教宗，是紫雀花王朝时代的人物，玛丽女王麾下的贵族将军；⏎与战友们一同被永生之血改造过，因此寿命很长，活到了现在；⏎剧情中，在帮助玛丽女王复辟紫雀花王朝的过程里逐渐发现自己只是一个棋子，不甘被献祭的他转而投靠了恩佐，脱下盔甲，穿上标志性的罩袍，成为了新黑巫团的得力干将。⏎Backstory: Formerly a member of the Violaethran Dynasty, he once served under the Nightmare Pope as a noble general in Queen Mary's army. Along with his comrades, he was transformed by the Blood of Immortality, granting him an unnaturally long life that spans centuries. During Mary’s campaign to restore the dynasty, he realized he was merely a pawn in her game. Refusing to be sacrificed, he defected to Enzir, shedding his armor for his signature purple robe to become a formidable operative of the new Nightmare Order 	 																
商会⏎Merchant Guild	贸易与制造，生意人⏎⏎    由彼得大道的著名商人与银行家牵头组成的超级商业联盟。⏎    和赚钱有关的事情都和他们有关，号称（在魔法师世界中）保护所有商户的权益，因此有王国的众多店铺响应了他们的号召。⏎    数年前，商会发现远近闻名的「商店街」的模式十分契合他们的需求——由强大魔法师来担任店主，可以保证当地商业秩序的安定，因此与商店街的三位大商人取得了合作。⏎    如今，商店街的三名大商人均属于商会的重要成员，而以他们经营的商店为原型的分店也因商会的运作，遍布在了王国的每一个角落。⏎	安妮⏎Annie	商会⏎Merchant Guild	驻店老板⏎Shopkeeper 		A1-奇谭，王国魔法师⏎A1- Strange Chrinicles: Royal Mages	 	· 性别：女⏎Gender: Female ⏎· 年龄：20⏎Age: 20⏎· 外貌特征：⏎                   温柔可爱的邻家少女，商店街的人气明星。⏎Appearance: A gentle and adorable girl-next-door type who has become a popular local celebrity in the shopping district ⏎⏎· 性格特征：⏎                 待人和煦温柔，像一阵温柔的春风，喜欢甜甜的东西。⏎                 想要变得可爱，因此可能偶尔会有矫揉造作的时候，但也透露着小心机的可爱。⏎                 做生意童叟无欺，自己是老板，也是看板娘。⏎                 弟弟因为自己的原因去世，安妮心中深深埋藏着创伤，非常害怕失去，珍视所有的朋友们。⏎Personality: She is warm and kind to everyone, like a gentle spring breeze, and loves a sweet treat. Driven by a desire to be seen as cute, she occasionally acts a bit performative, yet even her little schemes carry an undeniable charm. As both the shop owner and its poster girl, she runs her business with absolute integrity. However, Annie carries a hidden trauma; the loss of her younger brother, for which she blames herself. Her past has left her with a profound fear of loss, causing her to treasure her friends above all else	与商业有关的设计元素																
		皮卡⏎Piko	商会⏎Merchant Guild	驻店老板⏎Shopkeeper 		A1-奇谭，王国魔法师⏎A1- Strange Chrinicles: Royal Mages	 	· 性别：女⏎Gender: Female ⏎· 年龄：23⏎Age: 23⏎· 外貌特征：⏎                   穿着时尚又充满工匠气息的新潮镇民。⏎Appearance: A trendy townsperson with a stylish yet artisanal flair⏎⏎· 性格特征：⏎                 新潮有时尚眼光的大姐姐，对搭配很在行，非常热心，有一双善于发现美的眼睛。⏎                 可以说是新潮洛克，热情开朗，审美独特，充满自我而又个性的浪漫气质。⏎Personality: A stylish and sophisticated woman with an expert sense of fashion and a heart of gold. She is a trendsetter; vibrant and open-hearted, with a distinctive eye for detail. Her aesthetic is entirely her own, blending a romantic temperament with a bold, individualistic flair that makes her stand out in any crowd																	
		博得⏎Bode	商会⏎Merchant Guild	驻店老板⏎Shopkeeper 		A1-奇谭，王国魔法师⏎A1- Strange Chrinicles: Royal Mages	 	· 性别：男⏎Gender: Male⏎· 年龄：七老八十⏎Age:  80⏎· 外貌特征：⏎小矮子，老顽童的感觉，穿得花里胡哨的。⏎Appearance: A cute fellow with the spirit of an old prankster, dressed in a wildly flamboyant outfit⏎· 性格特征：⏎                  老顽童，很精明，穿着和行事有点古怪，但因为本质善良，大家都很喜欢他。⏎                  嘴上不饶人，但会用实际行动温暖商店街洛克们。⏎                  喜欢和小孩子们相处，也喜欢开玩笑。⏎                  曾经是很厉害的角色，现在已经归隐了，但依旧和魔法学院有不少往来业务。⏎Personality: An eccentric, shrewd old soul who hides a heart of gold behind a sharp tongue and a flamboyant wardrobe. He is the life of the shopping district, often using his blunt humor to mask his quiet acts of kindness toward the locals. A lover of jokes and a friend to children, he is a retired powerhouse who remains a key consultant for the Magic Academy, proving that he hasn’t completely left his formidable past behind																	
		万事通⏎Mr. Knowitall	商会⏎Merchant Guild	巡游老板⏎（信息贩子）⏎Information Broker		A1-奇谭，王国魔法师⏎A1- Strange Chrinicles: Royal Mages	 	· 性别：男⏎Gender: Male⏎· 年龄：三十⏎Age: 30⏎· 外貌特征：⏎                   怪蜀黍，穿着玩偶服，轻松快乐的推销着产品的形象。⏎Appearance: He's a bizarre middle-aged man in a fuzzy mascot costume. Still, he's a whirlwind of high-energy fun as he delivers his sales pitch.⏎· 性格特征：⏎                 和博得老搭档，喜欢自力推销商品，但本业其实是信息贩子，走街串巷也是找生意，找信息，八面玲珑。⏎                 信息就是他赚钱的手段！对于商店街附近的八卦是了如指掌，搞笑天赋，憨态可掬，但好在内心还是善良的。⏎                 似乎对于设计和制造图纸非常得意。⏎Personality: He is Bode’s long-time partner and a self-proclaimed master salesman, though his true trade is dealing in information. He roams the streets under the guise of a hawker to sniff out leads and scout for business, navigating social circles with effortless charm. To him, information is the ultimate currency. He has the neighborhood gossip down to a science and possesses a natural, goofy charisma that makes him instantly likable. Despite his shady profession, he is kind-hearted at core and takes immense pride in his talent for design and mechanical blueprints																	
		乔布斯					 	· 性别：男⏎Gender: Male⏎· 年龄：不详（外貌约 40 出头）⏎Age: Untold (Looks 40)⏎· 外貌特征：⏎身着黑色高领衫与简洁裤装，手里常常拿着一本记事簿或一台奇怪的魔法装置。⏎外貌低调，却自带一种强烈的气场，眼神敏锐而犀利。很喜欢新鲜玩意，衣装风格也比较时尚简约。⏎Appearance: Dressed in a black jacet and well tailored trousers, he is rarely seen without a notebook or a strange magical device in hand. Though his appearance is understated, he possesses a commanding presence, marked by a gaze that is both keen and piercing. A lover of new-age gadgets, his style is a blend of modern minimalism and cutting-edge fashion.⏎· 性格特征：⏎极度追求简洁与效率，讲话常常直截了当。⏎平日里冷峻严肃，但在谈到“创新”或“魔法器具”的时候，会流露出近乎狂热的热情。⏎对魔法和设计有一种完美主义倾向，经常和别人讨论“魔法器具应该如何改善生活”。⏎虽然外表严厉，但其实内心怀有强烈的理想主义和浪漫情怀。⏎Personality: Driven by an extreme pursuit of simplicity and efficiency, he is blunt and straight-to-the-point in conversation. While typically aloof and solemn, he displays a near-fanatical passion the moment the topic shifts to innovation or magical apparatus. A perfectionist in both magic and design, he is often found debating how magical tools can revolutionize daily life. Though he projects a stern image, he harbors a deep-seated idealism and a surprisingly romantic spirit⏎· 重要过往：⏎富商家庭出身，对于生意有自己的见解，本质善良的生意人。⏎Backstory: Born into a wealthy merchant family, he possesses a shrewd business sense and unique insights into trade, yet remains a fundamentally kind-hearted entrepreneur																	
		拉尔夫⏎Ralph					 	性别：男⏎Gender: Male⏎年龄：22 岁⏎Age: 22⏎· 外貌特征：⏎小小年纪已经是洛克银行行长，严谨的精英感。⏎穿着稳重不失典雅，圆框眼镜，有着和金钱相关工作的严谨和精密感。⏎Appearance: A youthful prodigy serving as the head of Roco Bank, he carries himself with a stiff, elite professionalism. Dressed in timeless yet sophisticated clothes and wearing round spectacles, he embodies the exacting discipline and precision of the financial world⏎· 性格特征：⏎眼观八方，喜欢读书、书法，对财经新闻非常关注。⏎注重生活质量和有品位的生活，下午茶和早晨的咖啡是必不可少的。⏎Personality: Always observant and alert, he is a man of culture who enjoys reading and calligraphy, while keeping a sharp eye on financial news. He places great value on quality of life and refined living; for him, morning coffee and afternoon tea are absolute essentials⏎· 重要过往：⏎从来精英教育长大，保持贵族优雅性的老牌家族。因此养成了略微执拗，追求完美的性格。⏎Backstory: He is the product of blue-blooded tradition and a top-tier upbringing. Obsessed with maintaining noble grace, he has developed a headstrong nature and a perfectionist's edge that defines everything he does																	
精灵集群⏎Jinies	精灵们组成的小社会	LULU（噜噜）⏎	魔法学院⏎Magic Academy 	魔法信使⏎Magic Courier		序章，A1-主线⏎Prologue, A1 Main Storyline 	 	· 性别：男⏎Gender: Male⏎· 年龄：50⏎Age: 50⏎· 现实/神话原型：海德薇⏎⏎· 外观特征：⏎                   和无数学院的魔法猫头鹰一样，个性的从来不是它们的外观，而是充满服务意识的性格。⏎Appearance:⏎Like the countless other magical owls of the academy, what defines them is never their physical appearance, but rather their profound sense of service⏎· 性格特征：⏎                   绅士风度，热心而又十分有礼貌，一口倍儿正宗的英国伦敦腔，揭示了它绅士的自我认知；⏎                   充满服务精神，对待服务于小魔法师的工作勤勤恳恳，再苦再累都不会有怨言，令人动容。⏎Personality:⏎Possessing a true gentleman’s flair, he is warm-hearted and impeccably polite; his pitch-perfect London accent reveals a deep-seated self-identity as a refined gentleman. Driven by an unwavering spirit of service, he is tireless in his duties to the young mages. His diligent, hardworking nature—never uttering a single word of complaint no matter how grueling the task—is truly moving⏎· 重要过往：⏎                   去年在学院内部的最佳猫头鹰评选中，荣获「五星向导」的殊荣，从此更加努力地激励自己工作。⏎Backstory: In last year's academy-wide Best Owl awards, he was honored with the prestigious title of Master Guide. Since then, he has pushed himself to work even harder, using the accolade as constant inspiration	· 魔法猫头鹰是个庞大的家族，不同颜色的猫头鹰各具本领⏎· 如果LULU和某只小同学特别聊得来，可以缔结契约⏎· LULU是罕见的、不愿进入咕噜球中生活的精灵之一		Academic, Clumsy, Animated, Father-figure⏎⏎As the first character the player interacts with, Mr. Hoolu's lovable yet clumsy nature is on display, it is even a plot point for one of the player's first missions. However, as an esteemed member of the Hoolu family and master guide, he does command respect. He has an eloquent way with words, more so than most characters and cares for the player much like a father														
		里奥⏎Lyel	风眠山（神山）⏎Mount Windrest	精灵王⏎Jini Sovereign 		A1-主线⏎A1 Main Storyline 	 	· 性别：男⏎Gender: Male⏎· 年龄：未知（1000+）⏎Age: Unknown  (1000+)⏎· 现实/神话原型：狼鹰（狼身鹰翅）⏎⏎· 外观特征：⏎Appearance:⏎· 性格特征：⏎                   洒脱、稳重、老干部风⏎Personality: Easygoing yet composed, with a classic, old-school charm⏎· 重要过往：⏎                   翼系精灵王，遥远的「天空城」之主，诞生于云上的第一缕轻风，重要的职责令它产生了责任感。⏎⏎                   300年前，因寻找克制体内无法消解的魇力的办法，随伊里斯一同降下人间，借助风眠山的天然风眼净化自身；⏎                   后被征战的亚瑟寻得，被其改变世界的志向打动，成为与亚瑟契约的帮手；⏎                   在灾厄之战的最终战中，近距离与噩梦控制的机械精灵大军缠斗，并将其中一只噩梦镇压在风眠山。⏎⏎                   此后的200年，里奥一直驻守在风眠山，防止被关押的噩梦的逃脱；⏎                   但碍于契约的濒弃，里奥体内的魇力日渐加重，并最终被噩梦教宗所利用，成为酿成如今风灾的导火索。⏎Backstory: The Jini Sovereign of Flight and Lord of the distant Sky City, Lyel was born from the first breath of wind atop the clouds. His noble station instilled in him a profound sense of duty.⏎⏎Three hundred years ago, seeking a cure for the Malforce consuming his body, he descended to the mortal realm with Irys, using the natural vortex of Mount Windrest to purify his soul. There, he was found by Arthiel; moved by the warrior’s ambition to change the world, Lyel became Arthel's sworn ally. During the final clash of the Calamity War, he fought through hordes of nightmare-controlled mechanical Jini at close range, ultimately sealing one of the Nightmares within Mount Windrest.⏎⏎For the next two centuries, Lyel stood watch over the mountain to prevent the Nightmare’s escape. However, as his ancient contract withered, the Malforce within him intensified. This weakness was eventually exploited by the Nightmare Pope, turning the guardian into the very catalyst for the devastating windstorms that plague the land today.			Self-sacrificing, Regal, Caring, Inspiring⏎⏎True to his name as the King of Flight, he shoulders the pain for all his subjects and is willing to suffer for years if it means nobody else has to. He speaks like a kind king, true to his word.														
		里奥（人形）⏎Lyel (Human Form)	风眠山（神山）⏎Mount Windrest	精灵王⏎Jini Sovereign 		A1-主线⏎A1 Main Storyline 	 	· 性别：男⏎Gender: Male⏎· 年龄：未知（1000+）⏎Age: Unknown  (1000+)⏎· 现实/神话原型：狼鹰（狼身鹰翅）⏎⏎· 外观特征：⏎Appearance:⏎· 性格特征：⏎                   洒脱、稳重、老干部风⏎Personality: Easygoing yet composed, with a classic, old-school charm⏎· 重要过往：⏎                   翼系精灵王，遥远的「天空城」之主，诞生于云上的第一缕轻风，重要的职责令它产生了责任感。⏎⏎                   300年前，因寻找克制体内无法消解的魇力的办法，随伊里斯一同降下人间，借助风眠山的天然风眼净化自身；⏎                   后被征战的亚瑟寻得，被其改变世界的志向打动，成为与亚瑟契约的帮手；⏎                   在灾厄之战的最终战中，近距离与噩梦控制的机械精灵大军缠斗，并将其中一只噩梦镇压在风眠山。⏎⏎                   此后的200年，里奥一直驻守在风眠山，防止被关押的噩梦的逃脱；⏎                   但碍于契约的濒弃，里奥体内的魇力日渐加重，并最终被噩梦教宗所利用，成为酿成如今风灾的导火索。⏎Backstory: The Jini Sovereign of Flight and Lord of the distant Sky City, Lyel was born from the first breath of wind atop the clouds. His noble station instilled in him a profound sense of duty.⏎⏎Three hundred years ago, seeking a cure for the Malforce consuming his body, he descended to the mortal realm with Irys, using the natural vortex of Mount Windrest to purify his soul. There, he was found by Arthiel; moved by the warrior’s ambition to change the world, Lyel became Arthel's sworn ally. During the final clash of the Calamity War, he fought through hordes of nightmare-controlled mechanical Jini at close range, ultimately sealing one of the Nightmares within Mount Windrest.⏎⏎For the next two centuries, Lyel stood watch over the mountain to prevent the Nightmare’s escape. However, as his ancient contract withered, the Malforce within him intensified. This weakness was eventually exploited by the Nightmare Pope, turning the guardian into the very catalyst for the devastating windstorms that plague the land today.	· 游戏内暂无该角色		Self-sacrificing, Regal, Caring, Inspiring⏎⏎True to his name as the King of Flight, he shoulders the pain for all his subjects and is willing to suffer for years if it means nobody else has to. He speaks like a kind king, true to his word.														
		伊里斯⏎Irys	风眠山（神山）⏎Mount Windrest	传说精灵⏎Legendary Jini		A1-主线⏎A1 Main Storyline 	 	· 性别：男⏎Gender: Male⏎· 年龄：320⏎Age: 320⏎· 现实/神话原型：独角兽⏎⏎· 外观特征：独角、没有翅膀、通体雪白、彩虹毛发⏎Appearance: A unicorn without wings, possessing a body of pure, snowy white and vibrant, rainbow-colored hair⏎· 性格特征：⏎                    调皮、风趣，阳光，能量感强，有一种（相较于人类的）孩童心性，对人类世界的玩意儿充满好奇。⏎                    与之形成反差的是他神使般高高在上的身份，调皮的外显示是做恶作剧，但这个角色绝对不会故作骚包。⏎Personality: Mischievous, witty, and radiant, he is a being of high energy with a childlike innocence, at least by human standards. He is endlessly fascinated by the trinkets and gadgets of the mortal world. There is a striking contrast between his divine, envoy-of-the-gods status and his playful exterior, which often manifests through harmless pranks. Crucially, while in Jini form, he is never pretentious; he has no interest in being showy or 'affected⏎· 重要过往：⏎                    天空城「彩虹四子」中最年轻的一位，受裔民们愿力的影响，诞生于彩虹之河。⏎                    童年时被里奥带大，和里奥十分亲密，并因此陪他一起来到了风眠山。⏎                    在风眠山中，伊里斯逐渐长大，但缘于里奥的保护，却始终没有真正的「成熟」。⏎                    它曾打遍风眠山，成为被所有精灵认可实力的大哥，也因好奇，而进入了陌生而多彩的洛克世界。⏎⏎                    在洛克世界中，他与魔法学院的成员成为朋友，也因此获得了混迹人间的新身份。⏎                    从此，伊里斯开始向大家普及契约与魔法，并在里奥的建议下，尝试成为解决精灵与洛克冲突的关键。⏎                    虽说洛克中不乏可爱的存在，但伊里斯却始终不明，自己成为洛克与精灵沟通桥梁的意义，究竟意味着什么？⏎                    直到——在守护挚友里奥的战役中，他似乎找到了这个问题的答案，也完成了自己真正的成长。⏎Backstory: The youngest of the Rainbow Quartet of Sky City, Irys was born from the River of Rainbows, manifested by the collective prayers and wishpower of his people. Raised by Lyel since childhood, the two shared an inseparable bond, leading Irys to follow his mentor down to Mount Windrest. Under Lyel's overprotective wing, Irys grew in stature but remained sheltered, never truly reaching emotional maturity. He eventually conquered Mount Windrest, earning the respect of every spirit there as their formidable big brother, yet his insatiable curiosity eventually drew him into the strange and colorful world of the Rocos.⏎⏎In the human world, he befriended members of the Magic Academy, adopting a new identity to blend into society. At Lyel's suggestion, Irys began teaching the populace about magical contracts, striving to become the vital mediator in conflicts between Jinies and humans. Yet, despite the many charms of the Roco world, Irys struggled to grasp the true purpose of his role as a bridge between their races. It was only during the final battle to protect his dearest friend, Lyel, that the answer finally became clear—and in that moment of sacrifice, he achieved his true awakening	· 胸前的星星挂饰是其重要特征⏎· 虽然没有翅膀，但可以踏着彩虹在天宇间行走		Deeply caring, Over-confident, Humorous, Self-sacrificing⏎⏎Irys is introduced as an overconfident Archmage who might care more about his appearance than his skills, but that is far from the truth. Though he is a bit on the cocky and proud side of the spectrum, he deeply cares for Jinies and the player. He is willing to give himself up just to save his best friend, and his sincerity shows when it matters most. But when it's not a do-or-die situation, he reverts back to a cocky jokster, who might bend the rules just a little--only for a good cause though.⏎														
