剧情范围	术语类别 Category	术语 ZHCN	曾用名	术语定义 Definition	性別 Gender	图像 Image	术语来源 Source	EN	EN Comment	术语状态 Status	JA	JA Comment	术语状态 Status	ES	ES Comment	术语状态 Status	DE	DE Comment	术语状态 Status	FR	FR Comment	术语状态 Status	PTBR	PTBR Comment	术语状态 Status	RU	RU Comment	术语状态 Status	ID	ID Comment	术语状态 Status	KO	KO Comment	术语状态 Status	TH	TH Comment	术语状态 Status	ZHTW	
	Creature Species	武斗酷猫		J0033 3/3		 		Meverine	Me前缀 +verdant + feline，有绿叶的自然，也有猫科的意象，重点还有Wolverine狼獾的凶悍感	New	ニャックル	1/3松+ヤギ山羊	New																									武鬥酷貓	
	Creature Species	松仔		J0035 1/3		 		Cony	Cone + Pony⏎Pine + -let（小型后缀），做成幼体名	Pending	コマツノ	コマツノ⏎「小松」＋「角」。角塞在树杈里伪装松果的感觉比较贴。	New																									松仔	
	Creature Species	松叶羊		J0036 2/3		 		Coneer	Cone + Deer⏎Pyn + buck	Pending	マツバギ	2/3松葉+ヤギ山羊	New																									松葉羊	
	Creature Species	针叶巡林		J0037 3/3		 		Coniferon	Conifer（针叶林）+ 强化尾音 -on⏎Pyn + -edra 强化音节，让名字更有史诗感	Pending	ハリガゼル	SEN：ハリガゼル⏎「針」＋ gazelle。对应长针叶、细长四肢和奔跑很快的林中兽。	New																									針葉巡林	
	Creature Species	蒲公英		J0038 1/2		 	CE拾遗译文优化EN	Puffree⏎Puffly	puff + free，意思是无忧无虑的小绒球（对应精灵到处飘的设定）⏎puff + fly ，意思是轻轻飞走的小绒球	New	ポポリア	Z：想确认ポポリア的命名思路。	New																									蒲公英	
需要check	Creature Species	蒲公英娃娃		J0039 2/2		 	CE拾遗译文优化EN	Puffelion	puff + -elion（来自 dandelion）	Approved	ポポドール	「タンポポ」（蒲公英）＋ doll（ドール／娃娃）。直接对应蒲公英娃娃的主题，也比第一阶段更像成型后的精灵名。	Approved																									蒲公英娃娃	
	Creature Species	蹦蹦种子		J0040 1/3		 	TASK_DIALOGUE_EN-20260417CE加急	Boppi		Approved	ポンボテン	「ぽん」（轻快弹跳感）＋「サボテン」（仙人掌）。圆滚滚、带刺、会蹦的小仙人掌感比较直观。	Approved																									蹦蹦種子	
	Creature Species	蹦蹦草		J0041 2/3		 	TASK_DIALOGUE_EN-20260417CE加急	Bopporo	研发指定命名	Approved	ツボテン	「つぼみ」（花苞）＋「サボテン」（仙人掌）。这一阶段花苞和仙人掌手臂都很明显。	Approved																									蹦蹦草	
	Creature Species	蹦蹦花		J0042 3/3		 	TASK_DIALOGUE_EN-20260417CE加急	Bovora	以-ora作为完全体尾缀，对应flora的意象。	Approved	ハナボテン	「花」（花）＋日本語「サボテン」（仙人掌）。最终形态就是头顶大花完全盛开的仙人掌精灵。	Approved																									蹦蹦花	
	Creature Species	蹦蹦果		J0043		 	TASK_DIALOGUE_EN-20260417CE加急	Booberi	berry，取blueberry谐音，对应果实的形态。	Approved	ピッタテン	hop 的 ホプ + fruit 的日文フルーツ变化而来的⏎⏎SEN：フルルン（English fruit（フルーツ／果实）＋「サボテン」（仙人掌））⏎或直接用甩乐器的拟声词命名：シャカシャカ⏎⏎Z：感觉フルルン听上去太可爱了，蹦蹦果更偏丑萌，认为不太合适。⏎シャカシャカ更偏向于沙锤的拟声词，实际上蹦蹦果并没有频繁地甩动双手。⏎认为可以采用果实的火龙果（ピタヤ）外观来命名，比如ピッタテン。⏎⏎SEN：已修改，辛苦确认。	New																									蹦蹦果	
A1	Creature Species	丢丢		J0044 1/3		 	A1	Ribbitto	ribbit（青蛙叫声）+ 可爱尾音，做成幼体名	Approved	カメンメン		Approved																									丟丟	
需要check	Creature Species	卡卡虫		J0045 2/3		 	TASK_DIALOGUE_EN-20260417CE加急	Ribbileon	ribbit + chameleon，意思是带有变色龙特质的蛙精灵。	Approved	カメレッカ	chameleon（カメレオン／变色龙）＋「カカ」的节奏。对应绿色蜥蜴外观、蓝色头冠和中段进化的活泼感，也能和「カメンメン」保持同系感。	Approved																									卡卡蟲	
	Creature Species	卡瓦重		J0046 3/3		 	TASK_DIALOGUE_EN-20260417CE加急	Ribblisk	ribbit + basilisk，用巴西利斯克（带翼蜥蜴）带出这个形态的威严感	Approved	カメラージャ	SEN：カメラージャ⏎chameleon（カメレオン／变色龙）＋ raja（ラージャ／王者）。保留同系感，同时让最终进化体更有“主力精灵”的气势。⏎カメルーガ⏎chameleon（カメレオン／变色龙）＋「ルーガ」的强壮音。对应最终形态的长舌、果枝武器和更成熟的战斗感。⏎⏎Z：选择カメラージャ。⏎⏎SEN：已修改，辛苦老师确认。	New																									卡瓦重	
A1	Creature Species	草头鸭		J0047 1/2		 	A1	Spruckle	sprout + duck 做成幼体名	Approved	クワッソウ	クワ（鸭子叫声）ッソウ（草	Approved																									草頭鴨	
	Creature Species	卷毛鸭		J0048 2/2		 	TASK_DIALOGUE_EN-20260417CE加急	Duckules	Duck（鸭子）与 Hercules（赫拉克勒斯，希腊神话中的大力神）的结合。	Approved	クワッチョ	アヒルやカモの鳴き声から"クワッ"+ チョン（小撮毛 / 卷毛）→ 缩成 チョ	Approved																									捲毛鴨	
A1	Creature Species	奇丽草		J0049 1/3		 	任务导出对话(本地化专用)-batch20260421_B1	Florumi	这个精灵的命名逻辑跟蹦蹦草那边很像，为了避免审美疲劳换一种方式翻译⏎flora 的缩音 + -mi，做成幼体名	Updated	ツボミン		Approved																									奇麗草	
	Creature Species	奇丽叶		J0050 2/3		 		Florula	加入 ula 让语感仍然偏小型精灵。	Approved	ハナッパ	「花」＋「葉っぱ」（叶子）。对应花苞变大、叶片手臂和中段草系形态，名字简单好读。	Approved																									奇麗葉	
A1	Creature Species	奇丽花		J0051 3/3		 	A1	Florora	-ora 让名字听起来更成熟。	Approved	キラッバナ		Approved																									奇麗花	
	Creature Species	奇丽果		J0052		 		Florion	成年体尾缀	Approved	ミノリーフ	「実り」（结果、成熟）＋ leaf（リーフ／叶子）。对应从草叶、花朵成长到结果的阶段感。	Approved																									奇麗果	
	Creature Species	绿草精灵		J0053 1/2		 		Verdimp	verdant + imp 做成幼体名	Approved	コノハット	日本語「木の葉」（树叶）＋ hat（ハット／帽子）。对应它的大帽子和叶子要素。也有点日语梗ダジャレ的感觉“このハット”	New																									綠草精靈	
	Creature Species	魔草巫灵		J0054 2/2		 		Verdrel	verdant + barrel	Approved	リーフィッチ	leaf（リーフ／叶子）＋ witch（ウィッチ／女巫、巫师）。叶子耳和小巫师感が一番わかりやすい。	Approved																									魔草巫靈	
	Creature Species	伊贝儿		J0055 1/2		 	TASK_DIALOGUE_EN-20260417CE加急	Mossip	moss 做成幼体名	Approved	イッペル	基础名称，音译	Approved																									伊貝兒	
	Creature Species	伊贝粉粉		J0056 2/2		 	TASK_DIALOGUE_EN-20260417CE加急	Mossipa	把尾音拉长一点，做出过渡尾缀	Approved	モジャッペル	モジャ（蓬松/毛茸茸）+ ッペル（继承自“伊贝儿”） = 伊贝粉粉	Approved																									伊貝粉粉	
	Creature Species	伊贝坏坏		J0057		 	TASK_DIALOGUE_EN-20260417CE加急	Mossnarl	加入 snarl ，突出攻击性。	Approved	ワルッペル		New																									伊貝壞壞	
A1	Creature Species	呆小路		J0058 1/3		 	任务导出对话(本地化专用)-batch20260421_B1	Roobi	保留“路”发音，为了躲开Riolu和Wooloo的宝可梦精灵名修改了一下，用baby的by作为最幼体的代表	New	ポッチュル	ポッ（呆呆的样子）+ チュル = 叶子触角的细软/探嗅动作	Approved																									呆小路	
	Creature Species	舞动路路		J0059 2/3		 	TASK_DIALOGUE_EN-20260417CE加急	Rooli	在 Roolu 基础上变化尾音	Approved	ワッチャル	ワッ（舞动号子/跃动感）+ チャル（舞动版后缀）⏎路路叠词，跟"チュル"稍调整一下发音，但选了比较相似的发音	Approved																									舞動路路	
	Creature Species	白发路路		J0060 3/3		 	TASK_DIALOGUE_EN-20260417CE加急	Roolan	加重收尾，有一点守护与仪式感。	Approved	シラッチャル	シラ（白）+ ッチャル（继承自“舞动路路”的后缀）	Approved																									白髮路路	
	Creature Species	白发路路·夏日		J0061 1/1		 	TASK_DIALOGUE_EN-20260417CE加急	Roolana	模拟热带国家语言的造词习惯⏎-ana的例子有banana, savanna热带草原	Approved	シラッチャル・サマー	SEN：シラッチャル＋サマー（夏天）⏎也有シラッチャル様的梗感。⏎⏎Z：这个精灵据说是比较特殊的SP形态。想先按照原文的格式给它的名字加上中点。⏎⏎SEN：已删除其他选项，辛苦确认。	New																									白髮路路·夏日	
	Creature Species	紫蔓宝宝		J0062 1/3		 	暂不投放——260528	Budvine⏎Tendrilo	bud + vine，意思是初生的藤蔓⏎把tendril做成幼体名⏎Tendrilo重音在哪里？	Denied	フジメ⏎ムラメ	SEN：フジメ⏎「藤」＋「芽」。紫色蔓草和幼芽感放在一起，短一点。⏎⏎ムラメ⏎「紫」＋「芽」。紫蔓宝宝的颜色和小草芽外形。	New																									紫蔓寶寶	
	Creature Species	紫蔓祭祀		J0063 2/3		 	暂不投放——260528	Tendricle⏎Vinerite	tendril + oracle，意思是藤蔓先知⏎vine + rite，意思是藤蔓祭祀	New	マイカズラ	SEN：マイカズラ⏎「舞」＋「蔓」。像藤蔓一边摇曳一边起舞，也带一点仪式感。	New																									紫蔓祭司	
	Creature Species	灵蔓草王		J0064 3/3		 	暂不投放——260528	Sylvaneer⏎Sylvarach	sylvan +  seer，意思是森林预言者⏎sylvan + monarch，意思是森林统御者	New	レイジュオン⏎カズライガ	SEN：レイジュオン⏎「霊樹」＋ lion 的音。叶毛、兽形和草王气势放在一起。⏎⏎カズライガ⏎「蔓」＋ liger。缠绕藤蔓和大型兽形比较贴。	New																									靈蔓草王	
	Creature Species	春团		J0065 1/3		 		Frunni	frond / bunny 做成幼体名	Approved	ラビィ	ラビィ	New																									春團	
	Creature Species	春兔		J0066 2/3		 		Frunella	Frond + bunny + umbrella，对应设定中位同伴遮雨的特点	Approved	ウララビ	「うらら」（春日晴朗、温和明亮）＋ rabbit（ラビット／兔子）。对应春天感、白色小兔外观，以及它照顾同伴的柔和气质。	Approved																									春兔	
	Creature Species	春花兔		J0067 3/3		 		Clovershot⏎Frunabelle	Clover+ shot，非常直白地表示它的四叶草能当枪用（对应精灵设定）⏎frond + bunny + nabelle，nabelle在希伯来语代表恩惠，法语的belle则代表美丽	New	フローラビィ	flora（フローラ／植物、花草）＋rabbit（ラビット／兔子）。对应草属性、花草魔法、外观，以及进化后的春花形象。	Approved																									春花兔	
	Creature Species	绿洲象		J0068 1/2		 		Oamoth⏎Oamutt	oasis + mammoth，意思是绿洲猛犸⏎oasis + mammut，也是绿洲猛犸，不过是德语拼法	Denied	パオシス	パオーン+オアシス	Approved																									綠洲象	
	Creature Species	流星猛犸		J0069 2/2		 	任务导出对话(本地化专用)-batch20260421_B1	Cosmodon⏎Meteodon	cosmos + -odon，意思是星空猛犸，odon本身就具有牙齿的意思，也能理解为星空之牙⏎Meteor + mastodon，意思是陨石猛犸，也是陨石之牙	New	メテオモス	2/2　シューティングスター＋ファング（マンモスの牙）⏎⏎Z：ファング有食肉动物的尖牙的印象，而不像是猛犸象的象牙。希望往猛犸象的方向去调整。⏎⏎SEN：メテオモス⏎meteor＋「マンモス」。对应流星、猛犸和大型草系兽，音短一点。	New																									流星猛獁	
	Creature Species	若叶蜥		J0070 1/3		 		Anoli	anole 做成幼体名	Approved	コカゲ	コカゲ⏎「子トカゲ」＋「木陰」。小蓝蜥蜴、躲在草木阴影里的感觉。	New																									若葉蜥	
	Creature Species	立叶蜥		J0071 2/3		 		Anofril	frill（褶边）本身很适合这种叶冠张开的中期形态。⏎"Frill" fits perfectly for this mid‑stage form with its fan‑like leaf crest spreading open.	Approved	ワサリザ	SEN：ワサリザ⏎「わさわさ」＋ lizard。对应叶片长开、身体更挺起来的中段。	New																									立葉蜥	
	Creature Species	蝶叶巨蜥		J0072 3/3		 		Anosaur	延续 Ano- 家族，最终变成更正式的巨蜥物种名。⏎Keeps the "Ano-" family root. Sounds like a proper, full-grown monitor lizard species.	Approved	パラソリザード⏎リフリルガード	SEN：パラソリザード⏎parasol＋ lizard。大叶颈伞像阳伞一样展开，适合这种横向张开的轮廓。⏎リフリルガード⏎leaf＋ frill＋ guard。叶片颈褶、护住身体的姿态都在里面。	New																									蝶葉巨蜥	
	Creature Species	空灵兽		J0073 1/2		 		Silfi	sylph 做成幼体名	Approved	コノピィ	コノピィ⏎「木の葉」＋小型尾音。小叶精灵感比较强，适合一阶。	New																									空靈獸	
	Creature Species	空灵斗士		J0074 2/2		 		Silvar	成年体尾缀	Approved	ハバキリア⏎シルフォリア	SEN：ハバキリア⏎「葉」＋「刃切り」。对应叶片变成武器，动作感比单纯“斗士”轻。⏎シルフォリア⏎sylph＋ folia。对应轻飘的草灵气质、花冠和人形叶衣。	New																									空靈鬥士	
	Creature Species	三叶草龙		J0075 1/2		 		Trevosaur	trefoil + -saur	Approved	クロバゴン	SEN：ミツバゴン⏎三つ葉＋「ドラゴン」。三叶草叶片和小龙身体放在一起，音不绕。	New																									三葉草龍	
	Creature Species	花叶龙		J0076 2/2		 		Trevora	成年体尾缀	Approved	ブルームドラグ	ブルームドラグ⏎bloom＋ dragon。对应花苞开成花叶、草龙长成后的样子，读起来有开花的气息。	New																									花葉龍	
	Creature Species	肥草球		J0077 1/2		 		Pomelle	 mellow 做成幼体名⏎pome 做成幼体名	New	ツルマリ⏎マリモン	SEN：ツルマリ⏎「蔓」＋「毬」。圆圆的草球身体和伸出来的藤蔓都在，音也不硬。⏎⏎マリモン⏎「毬藻」＋ monster。绿色球状植物感很直观，也适合从小草球长到中段。	New																									肥草球	
	Creature Species	赫拉		J0078 2/2		 		Viridia	 viridian 做成成年体名字⏎evanescent 做成成年体名字⏎这种comment仿佛废话好吗=皿=	New	ハールラ⏎ヘラダリア	Herb+王様っぽく⏎⏎SEN：ヘラダリア⏎考虑到此精灵的核心是自然的力量，取自 Hera（ヘラ／希腊神话女神名）＋ dahlia（ダリア／大丽花）。保留神祇名来源，同时能对应头部的大型红花和草系Boss的厚重感。	New																									赫拉	
	Creature Species	格兰种子		J0079 1/3		 		Granil	Gran- 带颗粒与种核感	Approved	クルミネ⏎コロナエ	SEN：クルミネ⏎「くるん」＋「実」。⏎⏎SEN：コロナエ⏎「ころん」＋「苗」。圆壳脸、小叶手脚和轻飘飘的幼苗感放在一起。	New																									格蘭種子	
	Creature Species	格兰花		J0080 2/3		 		Granora	褪去幼体感，换上代表成长过的尾缀	Approved	ハナワルツ	SEN：ハナワルツ⏎「花」＋ waltz。花瓣像裙摆，细藤四肢像在空中转着走。	New																									格蘭花	
	Creature Species	格兰球		J0081 3/3		 		Granulo	granule 呼应它球状的形态	Approved	ムズコロン⏎ポレグリン	SEN：ムズコロン⏎「むずむず」＋「ころん」。圆球身体和会让人发痒的花粉。⏎ポレグリン⏎pollen＋ grin。咧嘴笑、散花粉，グリン也带一点草色感。	New																									格蘭球	
	Creature Species	荆伞兽		J0082 1/2		 	目前未上架（20260602）	Brambet⏎Umbriar	 bramble 做成幼体名⏎umbrella + briar ，自然的bad pun	New	カクッサ	傘+草（かくっと、少し怖く急な感じ）	Approved																									荊傘獸	
	Creature Species	荆棘魔伞		J0083 2/2		 	目前未上架（20260602）	Bramora⏎Umbramble	成年体尾缀⏎将 briar 升级成 bramble。	New	パクッサ	ぱくっと+草	Approved																									荊棘魔傘	
	Creature Species	蝶兰花		J0084 1/2		 	目前未上架（20260602）	Orivie⏎Phalyn	 orchid 做成幼体名⏎Phalaenopsis做成幼体名	New	ランピヨン	「蘭」（兰花）＋ papillon（パピヨン／蝴蝶）。	Approved																									蝶蘭花	
	Creature Species	蝶兰花仙		J0085 2/2		 	目前未上架（20260602）	Orivane⏎Phalisse	优雅尾缀	New	ランフェリア	取自「蘭」（兰花）＋fairy（フェアリー／妖精、花仙感）。适合进化后的花仙形象，也保留兰花系的核心。	Approved																									蝶蘭花仙	
	Creature Species	桃花苞		J0086 1/3		 		Cheriba⏎Pruni	Cherry +bud 做成幼体名⏎prunus 做成幼体名	New	モモッミ⏎モモミン	桃+蕾⏎⏎SEN：モモミン⏎「桃」（桃子）＋ mini（ミニ／小型）。小桃包子球一样的幼体，名字短、软、可爱。	New																									桃花苞	
	Creature Species	桃胖子		J0087 2/3		 		Cheribo⏎Prunae	Cherry + bloom⏎优雅尾缀	New	モモプックリ⏎モモリン	桃+ぷっくり⏎⏎SEN：モモリン⏎外表看与第一形态不会有太大的变化，因此命名逻辑没改变太多。「桃」（桃子）＋「ころりん」（圆滚滚、轻轻滚动）。适合圆胖、软乎乎的中间形态。	New																									桃胖子	
	Creature Species	桃花仙		J0088 3/3		 		Cherioid⏎Prythia	Cherry +oid，类人形⏎优雅尾缀	New	フェアリモモ⏎モモリーナ	Fairy+桃⏎⏎SEN：モモリーナ⏎「桃」（桃子）＋ ballerina（バレリーナ／芭蕾舞者）。适合桃花仙轻盈、飘舞、像花瓣精灵一样的最终形态。	New																									桃花仙	
	Creature Species	竹笙仔		J0089 2/3		 		Veilshroom⏎Dictyl	veil + mushroom⏎Dictyophora 做成幼体名	New	ササメル	きのこ+ぴよ（鳥っぽく）⏎⏎Z：菌宝进化而来；设计灵感是竹荪，第三形态更接近于细长的古代中国龙而不是鸟，希望调整一下命名方向。⏎⏎SEN：ササメル⏎取自「笹」（竹叶、小竹）＋「芽」（新芽）＋ meal（ミール／餐食、料理感）。名字不直接翻“竹笙”，而是从竹林、幼体、新芽感，以及后续料理系进化方向来命名。	New																									竹笙仔	
	Creature Species	鬼笔伯爵		J0090 2/3		 		Veilgrave⏎Phallorde	加入 grave，代表阴暗的部分⏎Phallus + lord 。	New	キハクシャク⏎マシュバロン⏎ムッシュロン	きのこ+鬼+伯爵（気迫+孔雀+鳥っぽく）⏎⏎SEN：ムッシュロン⏎monsieur（ムッシュ／先生、绅士）＋mushroom（マッシュルーム／蘑菇、菌类）。有“怪诞蘑菇绅士”的感觉，读音也顺。⏎マシュバロン⏎取自mushroom（マッシュルーム／蘑菇、菌类）＋ baron（バロン／贵族爵位感）。意思最清楚。	New																									鬼筆伯爵	
	Creature Species	金桂咪		J0091 1/3		 		Osmin⏎Nobil	osmanthus 做成幼体名⏎Laurus nobilis 做成幼体名	New	モクミー	「木犀（もくせい／桂花）」＋「ミー」（小猫叫声）。对应桂花要素和小猫感，名字短、软，适合第一阶段。	New																									金桂咪	
	Creature Species	桂大虎		J0092 2/3		 		Osmar⏎Nobir	褪去幼体感，做成过渡形态名	New	カオルガー	「香る」（散发香气）＋ tiger（タイガー／老虎）。对应桂花香气和虎系成长，读起来直接、有速度感。	New																									桂大虎	
	Creature Species	月桂天禄		J0093 3/3		 		Osmareth⏎Nobilor	成年体尾缀	New	ゲッケイロク⏎ゲッカロク	SEN：「月桂（げっけい）」＋「天禄（てんろく／瑞兽）」。保留月桂与天禄两个核心要素，名字端正，有最终进化体的庄重感。⏎「月華（げっか／月光）」＋「天禄（てんろく／瑞兽）」。对应月桂、月光感和最终形态的神圣瑞兽气质。	New																									月桂天祿	
	Creature Species	荷蛙仔		J0094 1/2		 		Nympling⏎Padpole	nymph + -ling，意思是睡莲幼体，还能借dumpling的可爱感⏎pad + tadpole ，谐音梗。	New	ハスケロ⏎ハスピョン	SEN：⏎「蓮（ハス）」＋ 青蛙叫声「ケロ」。对应荷叶、青蛙和第一阶段的小型感，读起来简单可爱。⏎⏎「蓮（ハス）」＋「ぴょん」（跳跃声）。对应荷叶间跳来跳去的小青蛙形象，第一阶段感更轻。	New																									荷蛙仔	
	Creature Species	剑尾荷叶		J0095 2/2		 		Nymoire⏎Padrail	 nymphaea + moire⏎pad + rail	New	ハスブレード⏎ケロブレード	SEN：⏎「蓮（ハス）」＋ blade（ブレード／剑刃）。对应荷叶要素和剑尾特征，音感更利落，适合进化后形态。⏎⏎青蛙叫声「ケロ」＋ blade（ブレード／剑刃）。保留蛙系识别度，同时突出剑尾的战斗感。	New																									劍尾荷葉	
	Creature Species	苞米仔		J0096 1/2		 		Cornie⏎Kernie	Corn（玉米）+ ie（常用于昵称的小音节）。名字轻松可爱，暗示玉米的萌芽状态。同时也是“Corny”（烂梗）的谐音。⏎从 kernel 收成更圆一点的小名	New	コニー	コーン（corn）→ コニー（幼态化/可爱化）	New																									玉米仔	
	Creature Species	炮米花		J0097 2/2		 		Popcorny⏎Cornnon	Popcorn + Corny ，有“大烂梗”的双关含义。⏎corn + cannon ，一念就知道这个精灵的特点。	New	ポップコニー	とうもろこしベース、英語翻訳参考⏎苞米仔→コニー⏎炮米花→ポップコニー	New																									炮米花	
	Creature Species	青鳞龙		J0098 1/2		 		Qirin⏎Cyren	 qilin + kirin⏎cyan 做成幼体名	New	リンロン	SEN：⏎「鱗（りん）」（鳞片）＋「ロン」（龙的音感）。对应青鳞和小龙要素，读起来简单，不会太成熟。	New																									青鱗龍	
	Creature Species	偃武青龙		J0099 2/2		 		Qiravan⏎Cyraval	成年体尾缀	New	セイウンギ	SEN：⏎「青（せい）」＋「雲（うん）」＋「扇（おうぎ）」的「ぎ」。对应青龙、云气和扇的造型重点，名字更偏文雅。	New																									偃武青龍	
	Creature Species	森豆丁		J0100 1/3		 		Beanie	bean 做成幼体名	Approved	コダマメ	森の子、森豆丁（モリンコ）、⏎雪豆丁（ユキンコ）、火豆丁（ヒリンコ），调整语调⏎⏎SEN：コダマメ⏎「こだま」（树灵、森林回声）＋「豆」（豆子）。外观是小豆子般的草木系幼体，名字能带出森林精灵感。⏎⏎Z：选择コダマメ。⏎⏎SEN：已删除其他选项，辛苦确认。	New																									森小子	
	Creature Species	森蛮人		J0101 2/3		 		Barbark	barbarian + bark	Approved	コダバリアン	2/3 フォレスト＋バーバリアン⏎⏎SEN：⏎「森（もり）」＋ barbarian（バーバリアン／蛮人）。对应森林、蛮人和第二阶段的力量感。⏎⏎Z：选择コダバリアン。⏎⏎SEN：已删除其他选项，辛苦确认。	New																									森蠻人	
	Creature Species	森巨人		J0102 3/3		 		Treemendous	Tree + Tremendous，是 "tremendous" 的谐音	Approved	コダイジュ	SEN：「木霊（こだま／森林精灵）」的「コダ」＋「大樹（たいじゅ／大树）」。对应森林、巨大树灵和最终形态的成熟感。⏎⏎Z：选择コダイジュ。⏎⏎SEN：已删除其他选项，辛苦确认。	New																									森巨人	
	Creature Species	红萝卜兔		J0103 1/1		 		Roobit	共享roo的词根，root + rabbit	Approved	ニンピョン	「ニンジン」（胡萝卜）＋「ぴょん」（兔子跳跃声）。对应胡萝卜、兔子和轻快的跳跃感，名字短，比较像小型萌系宠物。	Approved																									紅蘿蔔兔	
	Creature Species	白萝卜兔		J0104 1/1		 		Roobun	共享roo的词根， root + bunny	Approved	ダイピョン	「大根（だいこん）」（白萝卜）＋「ぴょん」（兔子跳跃声）。和ニンピョン形成一对，保留白萝卜和兔子要素，读起来也很顺。	Approved																									白蘿蔔兔	
	Creature Species	好鳄椰		J0105 1/2		 		Logadile⏎Cocobite	虽然不是完全一致，但为了躲开宝可梦的Totodile所以要重想一批⏎log + crocodile，意思是圆木小鳄⏎coco + bite，意思是会咬人的椰子小兽	New	ココダイル	coconut（ココナッツ／椰子）＋ crocodile（クロコダイル／鳄鱼）。对应椰子鳄鱼的完整形态，名字比第一阶段更有体型和力量感。	Approved																									好鱷椰	
	Creature Species	超级鳄椰		J0106 2/2		 		Palmigator	palm +alligator	Approved	ガブダイル	2/2ココナッツ+鰐+（こっわ！）⏎⏎Z：好鳄椰和超级鳄椰都写了“ココッワニ”...⏎⏎SEN：⏎「がぶっ」（咬合）＋ crocodile（クロコダイル／鳄鱼）。对应进化后的大嘴、咬合力和鳄鱼战斗感，适合超级形态。	New																									超級鱷椰	
	Creature Species	面剂子	拌面仔	J0107 1/2		 		Mieni⏎Noody	从 mien 这类面的音感出发，做成不像拼音但又能被北美玩家看懂的精灵名（那边的炒面就叫chow mien）。⏎noodle 做成幼体名⏎炒面会喊chow mien，但mien单独出现可能想不到是面（尤其是它现在长得有点抽象）	Pending	コネマル⏎メンダネ	SEN：コネマル⏎「こねる」（揉面）＋「まる」（圆）。对应面剂子的团状感和第一阶段的小体型。⏎⏎SEN：メンダネ⏎「麺（めん）」＋「種（たね）」。对应还没成型的面团胚子，有第一阶段“原料”的感觉。	New																									拌麵仔	
	Creature Species	油面师傅	油面麻匠	J0108 2/2		 		Sesamien⏎Tahmien	参考 sesame，芝麻、麻酱+面的感觉⏎参考 tahini 的芝麻酱意象，+面，贴麻酱面的核心。	Pending	アブラメン⏎メンショウ	SEN：アブラメン⏎「油（あぶら）」＋「麺（めん）」。对应油面主题，名字直观好读，适合作为进化后的面料理系精灵。⏎⏎メンショウ⏎「麺（めん）」＋「匠（しょう）」。对应面点师傅和进化后的熟练感，名字更像职业型精灵。	New																									油麵麻匠	
	Creature Species	发财树		J0109 1/2		 		Minterra⏎Treasurem	 mint +植物感后缀⏎treasure+植物感后缀	New	コガネメ⏎フクノキ	SEN：⏎コガネメ⏎「黄金（こがね）」（金色、财运感）＋「芽（め）」。对应发财树的小树苗感和招财要素，第一阶段读起来轻。⏎⏎フクノキ⏎「福」（好运、招财）＋「木（き）」。对应发财树的招福寓意和树木外观，名字直观好读。	New																									發財樹	
	Creature Species	财宝树		J0110 2/2		 		Goldrine⏎Fortuneaf	从 gold 的金财意象+结果的感觉。⏎fortune + leaf 枝上结财的招财植物。	New	タカラギ⏎コガネジュ	SEN：⏎タカラギ⏎「宝（たから）」（财宝）＋「木（き）」。对应财宝树的聚宝意象和树木形态，名字稳，适合进化后。⏎⏎コガネジュ⏎「黄金（こがね）」（金色、财富感）＋「樹（じゅ）」。对应金色财运和更成熟的树形，可以和コガネメ形成进化感。	New																									財寶樹	
A1	Creature Species	鸭吉吉		J0111 1/1		 	A1	Duckiji	研发指定命名	Approved	ダッキージ	鸭吉吉国王接近的ダッキージ（参考EN）	Approved																									鴨吉吉	
	Creature Species	鸭吉吉国王		J0112		 	TASK_DIALOGUE_EN-20260417CE加急	King Duckiji	研发指定命名	Approved	ダッキーキング	ダッキーキ＋キング	Approved																									鴨吉吉國王	
	Creature Species	阿布		J0113 1/2		 		Abriel	保留阿布的 A / b 音感，再混入一点 angel / aerial 的轻灵感，呼应这只精灵的设定	Approved	ポワエル⏎ミミエル⏎アエル	SEN：ポワエル⏎「ぽわっ」＋ aile。翅膀很小，不是拍着飞，而是白白的小身体轻轻浮起来。⏎⏎ミミエル⏎「耳」＋ aile。头部的大耳形轮廓和小翼膜一起取进去，读起来偏可爱，不像普通动物名。⏎アエル⏎aile＋「会える」。翅膀和“能和人心意相通”的感觉放在一起，短，亲近，不像普通龙名。	New																									阿布	
	Creature Species	画精灵		J0114 1/3		 		Framell	从 frame（画框）压成精灵名，表现寄宿在画中的小精灵。⏎Frames "frame" into a Jini name. Suggests a tiny spirit that lives inside a painting.	Approved	ガクレル⏎エノコ⏎ガクレオ	SEN：⏎ガクレル⏎「額」＋「隠れる」。对应它在画框里穿来穿去、还会被卡住的设定。⏎⏎絵の子（エノコ）⏎⏎ガクレオ⏎額+Galileo	New																									畫精靈	
	Creature Species	画像守护		J0115 2/3		 		Framward	frame + ward，意思是守护画框的精灵	New	キュレフレム	画+guardian⏎⏎SEN：フレディアン⏎frame（フレーム／画框）＋「guardian」（守望）。外观有明显的画框和眼睛意象，也符合“画像守护”这种在画中守望的感觉。⏎⏎Z：根据精灵设定（描述文本），画像守护更偏向一个友好的（艺术品）管理员...⏎使用フレーム作为家族特征的词没有问题~⏎⏎SEN：キュレフレム⏎curator＋ frame。	New																									畫像守護	
